名称 | 价格(元) | 涨跌幅
尚未添加自选, 点击进入
我的自选股>>
以下为热门股票
&nbsp;股市必察 | &nbsp;每日提示
・公司快报 | &nbsp;公司快报 | &nbsp;新股上市 | &nbsp;龙虎榜单
&nbsp;每日咨询
&nbsp;股市直播 | &nbsp;股市雷达
&nbsp;公司简介 | &nbsp;股本结构
&nbsp;主要股东 | &nbsp;流通股东
&nbsp;基金持股 | &nbsp;公司高管
&nbsp;公司章程 | &nbsp;相关资料
&nbsp;资金流向 | &nbsp;个股体检
&nbsp;风险评价 | &nbsp;价值估值
&nbsp;分时走势 | &nbsp;行情中心
&nbsp;大单追踪 | &nbsp;成交明细
&nbsp;分价图表 | &nbsp;持仓分析
&nbsp;分红配股 | &nbsp;新股发行
&nbsp;增发情况 | &nbsp;招股说明
&nbsp;上市公告
&nbsp;业绩预告
&nbsp;利润表
&nbsp;资产负债表
&nbsp;现金流量表
&nbsp;财务附注
&nbsp;业绩预告
&nbsp;坏帐准备
&nbsp;文字附注
&nbsp;应交增值税款
&nbsp;股东权益增减
&nbsp;资产减值准备
&nbsp;关键指标 | &nbsp;杜邦分析
&nbsp;所属行业 | &nbsp;所属指数
&nbsp;相关证券 | &nbsp;基本资料
&nbsp;所属系别 | &nbsp;所属板块
&nbsp;公司公告 | &nbsp;年度报告
&nbsp;中期报告 | &nbsp;第一季度
&nbsp;第三季度
&nbsp;控股参股 | &nbsp;参股券商
&nbsp;资产托管 | &nbsp;资产置换
&nbsp;资产交易 | &nbsp;资产剥离
&nbsp;股东大会
&nbsp;关联交易
&nbsp;违规记录
&nbsp;诉讼仲裁
&nbsp;对外担保
&nbsp;相关资讯
&nbsp;智能选股 | &nbsp;财务对比
&nbsp;数据浏览
&nbsp;行情中心
&nbsp;新浪股道
表单下载 -->
历年数据:
				&nbsp;2026&nbsp;&nbsp;2025&nbsp;&nbsp;2024&nbsp;&nbsp;2023&nbsp;&nbsp;2022&nbsp;&nbsp;2021&nbsp;&nbsp;2020&nbsp;&nbsp;2019&nbsp;&nbsp;2018&nbsp;&nbsp;2017&nbsp;&nbsp;2016&nbsp;
法拉电子(600563) 资产负债表 单位：万元
报表日期 | 2025-12-31 | 2025-09-30 | 2025-06-30 | 2025-03-31
流动资产
货币资金 | 27,149.70 | 29,411.97 | 29,430.69 | 30,495.94
交易性金融资产 | 156,008.96 | 131,647.19 | 116,944.27 | 117,230.27
衍生金融资产 | -- | -- | -- | --
应收票据及应收账款 | 171,727.90 | 188,757.10 | 172,331.67 | 187,010.62
应收票据 | 26,035.58 | 29,766.83 | 22,940.76 | 26,015.41
应收账款 | 145,692.32 | 158,990.27 | 149,390.91 | 160,995.21
应收款项融资 | 62,894.75 | 34,841.49 | 27,130.61 | 38,234.85
预付款项 | 1,284.70 | 861.03 | 820.34 | 379.79
其他应收款(合计) | 108.84 | 149.11 | 170.34 | 203.80
应收利息 | -- | -- | -- | --
应收股利 | -- | -- | -- | --
其他应收款 | -- | -- | 170.34 | --
买入返售金融资产 | -- | -- | -- | --
存货 | 96,150.94 | 94,698.15 | 92,799.56 | 82,340.90
划分为持有待售的资产 | -- | -- | -- | --
一年内到期的非流动资产 | 35,278.83 | 37,691.54 | 49,760.29 | 85,585.67
待摊费用 | -- | -- | -- | --
待处理流动资产损益 | -- | -- | -- | --
其他流动资产 | 80.90 | 72.80 | 72.48 | 52.42
流动资产合计 | 550,863.05 | 518,293.22 | 489,606.44 | 541,679.92
非流动资产
发放贷款及垫款 | -- | -- | -- | --
可供出售金融资产 | -- | -- | -- | --
持有至到期投资 | -- | -- | -- | --
长期应收款 | -- | -- | -- | --
长期股权投资 | 4,578.35 | -- | -- | --
投资性房地产 | 929.09 | 966.57 | 1,004.05 | 1,041.52
在建工程(合计) | 8,264.85 | 50,717.34 | 48,292.18 | 38,358.32
在建工程 | -- | -- | 48,292.18 | --
工程物资 | -- | -- | -- | --
固定资产及清理(合计) | 204,874.40 | 152,747.41 | 149,880.04 | 149,188.53
固定资产净额 | 204,874.40 | -- | 149,880.04 | --
固定资产清理 | -- | -- | -- | --
生产性生物资产 | -- | -- | -- | --
公益性生物资产 | -- | -- | -- | --
油气资产 | -- | -- | -- | --
使用权资产 | -- | 152.64 | 176.82 | 201.00
无形资产 | 10,334.88 | 10,518.82 | 10,645.01 | 10,803.96
开发支出 | -- | -- | -- | --
商誉 | -- | 1,359.41 | 1,359.41 | 1,359.41
长期待摊费用 | 6,611.31 | 7,066.80 | 7,657.05 | 8,114.17
递延所得税资产 | -- | 34.61 | 30.92 | 32.25
其他非流动资产 | 86,344.39 | 94,296.44 | 92,403.97 | 56,086.59
非流动资产合计 | 321,937.27 | 317,860.04 | 311,449.44 | 265,185.74
资产总计 | 872,800.32 | 836,153.25 | 801,055.88 | 806,865.66
流动负债
短期借款 | 1,378.58 | 3,037.43 | 4,157.62 | 2,395.23
交易性金融负债 | -- | -- | -- | --
应付票据及应付账款 | 217,719.71 | 207,496.91 | 206,325.34 | 201,134.47
应付票据 | 146,210.00 | 136,843.01 | 134,893.55 | 140,552.73
应付账款 | 71,509.71 | 70,653.90 | 71,431.78 | 60,581.75
预收款项 | -- | -- | -- | --
应付手续费及佣金 | -- | -- | -- | --
应付职工薪酬 | 15,119.61 | 12,415.96 | 10,068.82 | 8,195.17
应交税费 | 8,837.92 | 7,206.61 | 7,079.27 | 6,535.13
其他应付款(合计) | 1,568.51 | 2,313.97 | 1,846.81 | 2,092.06
应付利息 | -- | -- | -- | --
应付股利 | -- | -- | -- | --
其他应付款 | -- | -- | 1,846.81 | --
预提费用 | -- | -- | -- | --
一年内的递延收益 | -- | -- | -- | --
应付短期债券 | -- | -- | -- | --
一年内到期的非流动负债 | -- | 39.61 | 39.61 | 39.61
其他流动负债 | 50.48 | 45.49 | 57.28 | 59.01
流动负债合计 | 245,826.10 | 233,447.71 | 230,337.76 | 221,347.40
非流动负债
长期借款 | -- | -- | -- | --
应付债券 | -- | -- | -- | --
租赁负债 | -- | 34.08 | 51.33 | 54.67
长期应付职工薪酬 | -- | -- | -- | --
长期应付款(合计) | -- | -- | -- | --
长期应付款 | -- | -- | -- | --
专项应付款 | -- | -- | -- | --
预计非流动负债 | -- | -- | -- | --
递延所得税负债 | 14,494.05 | 13,603.51 | 13,335.12 | 13,259.92
长期递延收益 | 9,455.08 | 10,943.82 | 10,943.82 | 10,943.82
其他非流动负债 | -- | -- | -- | --
非流动负债合计 | 23,949.13 | 24,581.41 | 24,330.28 | 24,258.41
负债合计 | 269,775.23 | 258,029.12 | 254,668.04 | 245,605.80
所有者权益
实收资本(或股本) | 22,500.00 | 22,500.00 | 22,500.00 | 22,500.00
资本公积 | 26,196.88 | 26,196.88 | 26,196.88 | 26,196.88
减：库存股 | -- | -- | -- | --
其他综合收益 | -157.72 | -99.57 | -74.78 | -252.20
专项储备 | -- | -- | -- | --
盈余公积 | 15,712.52 | 15,712.52 | 15,712.52 | 15,712.52
一般风险准备 | -- | -- | -- | --
未分配利润 | 538,773.41 | 508,324.76 | 476,497.54 | 490,984.56
归属于母公司股东权益合计 | 603,025.09 | 572,634.59 | 540,832.15 | 555,141.75
少数股东权益 | -- | 5,489.54 | 5,555.69 | 6,118.10
所有者权益(或股东权益)合计 | 603,025.09 | 578,124.13 | 546,387.84 | 561,259.85
负债和所有者权益(或股东权益)总计 | 872,800.32 | 836,153.25 | 801,055.88 | 806,865.66
下载全部历史数据到excel中 | ↑返回页顶↑
